Row PackBc PackCc UnpackCc CopyBr/CopyCr StreamA/Ac StreamBr/Bc StreamC/Cc/Cr Arithmetic
4x4x4 0.7476806640625 0.0879624310661765 0.0723926815431165 0.0122347745028409 10.250569476082 0.302884615384615 15.9320809248555 5.505024
4x4x8 0.37384033203125 0.0879624310661765 0.0723926815431165 0.0122347745028409 10.250569476082 0.302884615384615 7.96604046242775 5.505024
4x4x12 0.249226888020833 0.0879624310661765 0.0723926815431165 0.0122347745028409 10.250569476082 0.302884615384615 5.3106936416185 5.505024
4x4x16 0.186920166015625 0.0879624310661765 0.0723926815431165 0.0122347745028409 10.250569476082 0.302884615384615 3.98302023121387 5.505024
8x4x4 0.7476806640625 0.0439812155330882 0.0361963407715582 0.0122347745028409 10.250569476082 0.151442307692308 15.9320809248555 5.505024
8x4x8 0.37384033203125 0.0439812155330882 0.0361963407715582 0.0122347745028409 10.250569476082 0.151442307692308 7.96604046242775 5.505024
8x4x12 0.249226888020833 0.0439812155330882 0.0361963407715582 0.0122347745028409 10.250569476082 0.151442307692308 5.3106936416185 5.505024
8x4x16 0.186920166015625 0.0439812155330882 0.0361963407715582 0.0122347745028409 10.250569476082 0.151442307692308 3.98302023121387 5.505024
12x4x4 0.7476806640625 0.0293208103553922 0.0241308938477055 0.0122347745028409 10.250569476082 0.101750300480769 15.9320809248555 5.505024
12x4x8 0.37384033203125 0.0293208103553922 0.0241308938477055 0.0122347745028409 10.250569476082 0.101750300480769 7.96604046242775 5.505024
12x4x12 0.249226888020833 0.0293208103553922 0.0241308938477055 0.0122347745028409 10.250569476082 0.101750300480769 5.3106936416185 5.505024
12x4x16 0.186920166015625 0.0293208103553922 0.0241308938477055 0.0122347745028409 10.250569476082 0.101750300480769 3.98302023121387 5.505024
16x4x4 0.7476806640625 0.0219906077665441 0.0180981703857791 0.0122347745028409 10.250569476082 0.0757211538461538 15.9320809248555 5.505024
16x4x8 0.37384033203125 0.0219906077665441 0.0180981703857791 0.0122347745028409 10.250569476082 0.0757211538461538 7.96604046242775 5.505024
16x4x12 0.249226888020833 0.0219906077665441 0.0180981703857791 0.0122347745028409 10.250569476082 0.0757211538461538 5.3106936416185 5.505024
16x4x16 0.186920166015625 0.0219906077665441 0.0180981703857791 0.0122347745028409 10.250569476082 0.0757211538461538 3.98302023121387 5.505024
