Row PackBc PackCc UnpackCc CopyBr/CopyCr StreamA/Ac StreamBr/Bc StreamC/Cc/Cr Arithmetic
4x4x4 0.7476806640625 8.27205882352941 0.0978781960227273 8.45375722543353 0.302884615384615 8.45375722543353 0 5.505024
4x8x4 0.37384033203125 8.27205882352941 0.0489390980113636 4.55202312138728 0.302884615384615 4.55202312138728 0 5.505024
4x12x4 0.249226888020833 8.27205882352941 0.0367043235085227 3.2514450867052 0.302884615384615 3.2514450867052 0 5.505024
4x16x4 0.186920166015625 8.27205882352941 0.0244695490056818 2.60115606936416 0.302884615384615 2.60115606936416 0 5.505024
8x4x4 0.7476806640625 4.13602941176471 0.0978781960227273 8.45375722543353 0.151442307692308 8.45375722543353 0 5.505024
8x8x4 0.37384033203125 4.13602941176471 0.0489390980113636 4.55202312138728 0.151442307692308 4.55202312138728 0 5.505024
8x12x4 0.249226888020833 4.13602941176471 0.0367043235085227 3.2514450867052 0.151442307692308 3.2514450867052 0 5.505024
8x16x4 0.186920166015625 4.13602941176471 0.0244695490056818 2.60115606936416 0.151442307692308 2.60115606936416 0 5.505024
12x4x4 0.7476806640625 2.75735294117647 0.0978781960227273 8.45375722543353 0.104116586538462 8.45375722543353 0 5.505024
12x8x4 0.37384033203125 2.75735294117647 0.0489390980113636 4.55202312138728 0.104116586538462 4.55202312138728 0 5.505024
12x12x4 0.249226888020833 2.75735294117647 0.0367043235085227 3.2514450867052 0.101750300480769 3.2514450867052 0 5.505024
12x16x4 0.186920166015625 2.75735294117647 0.0244695490056818 2.60115606936416 0.101750300480769 2.60115606936416 0 5.505024
16x4x4 0.7476806640625 2.06801470588235 0.0978781960227273 8.45375722543353 0.0757211538461538 8.45375722543353 0 5.505024
16x8x4 0.37384033203125 2.06801470588235 0.0489390980113636 4.55202312138728 0.0757211538461538 4.55202312138728 0 5.505024
16x12x4 0.249226888020833 2.06801470588235 0.0367043235085227 3.2514450867052 0.0757211538461538 3.2514450867052 0 5.505024
16x16x4 0.186920166015625 2.06801470588235 0.0244695490056818 2.60115606936416 0.0757211538461538 2.60115606936416 0 5.505024
