Row PackBc PackCc UnpackCc CopyBr/CopyCr StreamA/Ac StreamBr/Bc StreamC/Cc/Cr Arithmetic total
4x4 0.312075407608696 0.0247828549848943 0.0259475259828287 0.0558307000486145 1.28132118451025 0.605769230769231 31.864161849711 11.010048 45.1799367536155
4x8 0.156037703804348 0.0247828549848943 0.0259475259828287 0.0558307000486145 1.28132118451025 0.605769230769231 15.9320809248555 11.010048 29.0918181249557
4x12 0.104025135869565 0.0247828549848943 0.0259475259828287 0.0558307000486145 1.28132118451025 0.605769230769231 10.732026734104 11.010048 23.8397513662694
4x16 0.0780188519021739 0.0247828549848943 0.0259475259828287 0.0558307000486145 1.28132118451025 0.605769230769231 7.96604046242775 11.010048 21.0477588106257
4x20 0.0624150815217391 0.0247828549848943 0.0259475259828287 0.0558307000486145 1.28132118451025 0.605769230769231 6.47240787572254 11.010048 19.5385224535401
4x24 0.0520125679347826 0.0247828549848943 0.0259475259828287 0.0558307000486145 2.5626423690205 0.605769230769231 5.36601336705202 11.010048 19.7030466157929
8x4 0.312075407608696 0.0123914274924471 0.0129737629914144 0.0558307000486145 1.28132118451025 0.302884615384615 31.864161849711 11.010048 44.851686947747
8x8 0.156037703804348 0.0123914274924471 0.0129737629914144 0.0558307000486145 1.28132118451025 0.302884615384615 15.9320809248555 11.010048 28.7635683190872
8x12 0.104025135869565 0.0123914274924471 0.0129737629914144 0.0558307000486145 1.28132118451025 0.302884615384615 10.732026734104 11.010048 23.511501560401
8x16 0.0780188519021739 0.0123914274924471 0.0129737629914144 0.0558307000486145 1.28132118451025 0.302884615384615 7.96604046242775 11.010048 20.7195090047573
8x20 0.0624150815217391 0.0123914274924471 0.0129737629914144 0.0558307000486145 1.28132118451025 0.302884615384615 6.47240787572254 11.010048 19.2102726476716
8x24 0.0520125679347826 0.0123914274924471 0.0129737629914144 0.0558307000486145 2.5626423690205 0.302884615384615 5.36601336705202 11.010048 19.3747968099244
12x4 0.312075407608696 0.00826095166163142 0.00864917532760958 0.0558307000486145 1.28132118451025 0.208233173076923 31.864161849711 11.010048 44.7485804419447
12x8 0.156037703804348 0.00826095166163142 0.00864917532760958 0.0558307000486145 1.28132118451025 0.208233173076923 15.9320809248555 11.010048 28.6604618132849
