Row PackBc PackCc UnpackCc CopyBr/CopyCr StreamA/Ac StreamBr/Bc StreamC/Cc/Cr Arithmetic
4x4 1.58332375919118 0.332302517361111 0.332302517361111 0.0217507102272727 5.125284738041 15.9320809248555 1.21153846153846 11.010048
4x8 0.791661879595588 0.332302517361111 0.332302517361111 0.0217507102272727 5.125284738041 15.9320809248555 0.605769230769231 11.010048
4x12 0.527774586397059 0.332302517361111 0.332302517361111 0.0217507102272727 5.125284738041 15.9320809248555 0.404897836538462 11.010048
4x16 0.395830939797794 0.332302517361111 0.332302517361111 0.0217507102272727 5.125284738041 15.9320809248555 0.302884615384615 11.010048
4x20 0.316664751838235 0.332302517361111 0.332302517361111 0.0217507102272727 5.125284738041 15.9320809248555 0.242938701923077 11.010048
4x24 0.263887293198529 0.332302517361111 0.332302517361111 0.0217507102272727 5.125284738041 15.9320809248555 0.202974759615385 11.010048
8x4 1.58332375919118 0.166151258680556 0.166151258680556 0.0217507102272727 5.125284738041 7.96604046242775 1.21153846153846 11.010048
8x8 0.791661879595588 0.166151258680556 0.166151258680556 0.0217507102272727 5.125284738041 7.96604046242775 0.605769230769231 11.010048
8x12 0.527774586397059 0.166151258680556 0.166151258680556 0.0217507102272727 5.125284738041 7.96604046242775 0.404897836538462 11.010048
8x16 0.395830939797794 0.166151258680556 0.166151258680556 0.0217507102272727 5.125284738041 7.96604046242775 0.302884615384615 11.010048
8x20 0.316664751838235 0.166151258680556 0.166151258680556 0.0217507102272727 5.125284738041 7.96604046242775 0.242938701923077 11.010048
8x24 0.263887293198529 0.166151258680556 0.166151258680556 0.0217507102272727 5.125284738041 7.96604046242775 0.202974759615385 11.010048
12x4 1.58332375919118 0.110767505787037 0.110767505787037 0.0217507102272727 5.125284738041 5.35218343569364 1.21153846153846 11.010048
12x8 0.791661879595588 0.110767505787037 0.110767505787037 0.0217507102272727 5.125284738041 5.35218343569364 0.605769230769231 11.010048
12x12 0.527774586397059 0.110767505787037 0.110767505787037 0.0217507102272727 5.125284738041 5.35218343569364 0.404897836538462 11.010048
12x16 0.395830939797794 0.110767505787037 0.110767505787037 0.0217507102272727 5.125284738041 5.35218343569364 0.302884615384615 11.010048
12x20 0.316664751838235 0.110767505787037 0.110767505787037 0.0217507102272727 5.125284738041 5.35218343569364 0.242938701923077 11.010048
12x24 0.263887293198529 0.110767505787037 0.110767505787037 0.0217507102272727 5.125284738041 5.35218343569364 0.202974759615385 11.010048
16x4 1.58332375919118 0.0830756293402778 0.0830756293402778 0.0217507102272727 5.125284738041 3.98302023121387 1.21153846153846 11.010048
16x8 0.791661879595588 0.0830756293402778 0.0830756293402778 0.0217507102272727 5.125284738041 3.98302023121387 0.605769230769231 11.010048
16x12 0.527774586397059 0.0830756293402778 0.0830756293402778 0.0217507102272727 5.125284738041 3.98302023121387 0.404897836538462 11.010048
16x16 0.395830939797794 0.0830756293402778 0.0830756293402778 0.0217507102272727 5.125284738041 3.98302023121387 0.302884615384615 11.010048
16x20 0.316664751838235 0.0830756293402778 0.0830756293402778 0.0217507102272727 5.125284738041 3.98302023121387 0.242938701923077 11.010048
16x24 0.263887293198529 0.0830756293402778 0.0830756293402778 0.0217507102272727 5.125284738041 3.98302023121387 0.202974759615385 11.010048
20x4 1.58332375919118 0.0664605034722222 0.0664605034722222 0.0217507102272727 5.125284738041 3.23620393786127 1.21153846153846 11.010048
20x8 0.791661879595588 0.0664605034722222 0.0664605034722222 0.0217507102272727 5.125284738041 3.23620393786127 0.605769230769231 11.010048
20x12 0.527774586397059 0.0664605034722222 0.0664605034722222 0.0217507102272727 5.125284738041 3.23620393786127 0.404897836538462 11.010048
20x16 0.395830939797794 0.0664605034722222 0.0664605034722222 0.0217507102272727 5.125284738041 3.23620393786127 0.302884615384615 11.010048
20x20 0.316664751838235 0.0664605034722222 0.0664605034722222 0.0217507102272727 5.125284738041 3.23620393786127 0.242938701923077 11.010048
20x24 0.263887293198529 0.0664605034722222 0.0664605034722222 0.0217507102272727 5.125284738041 3.23620393786127 0.202974759615385 11.010048
24x4 1.58332375919118 0.0553837528935185 0.0553837528935185 0.0217507102272727 5.125284738041 2.73832640895954 1.21153846153846 11.010048
24x8 0.791661879595588 0.0553837528935185 0.0553837528935185 0.0217507102272727 5.125284738041 2.73832640895954 0.605769230769231 11.010048
24x12 0.527774586397059 0.0553837528935185 0.0553837528935185 0.0217507102272727 5.125284738041 2.73832640895954 0.404897836538462 11.010048
24x16 0.395830939797794 0.0553837528935185 0.0553837528935185 0.0217507102272727 5.125284738041 2.73832640895954 0.302884615384615 11.010048
24x20 0.316664751838235 0.0553837528935185 0.0553837528935185 0.0217507102272727 5.125284738041 2.73832640895954 0.242938701923077 11.010048
24x24 0.263887293198529 0.0553837528935185 0.0553837528935185 0.0217507102272727 5.125284738041 2.73832640895954 0.202974759615385 11.010048
